name,state,city,address,latitude,longitude,Charging Type,Supported Vehicle Types,access hours,Pricing Information,Amenities
Tata Power Electric Vehicle Charging station Gennext Motors,Andaman and Nicobar Islands,Port Blair,"Pahargaon, Ground Floor New, Port Blair, South Andaman District, Andaman & Nicobar Islands, 744103",11.63086575,92.72462903,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
Sri Murugan Stores,Tamil Nadu,chennai,"9&10, Tejraj colony, Agaram Main Rd, Selaiyur, Chennai, Tamil Nadu ",12.9056714,80.1421391,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"Wifi, Parking"
"Nandi Food Plaza, Nalagam palli",Andhra Pradesh,Chittoor,"NH 69 - 174 Nalagampalli Chittoor-Bangalore Highway Close to Bangarupalem, Village, Nalagam palli, Andhra Pradesh 517416",13.2035919,78.9415658,AC Fast Charging,EV1,24-Jul,?9 k/Wh,Wifi
"Highway Grand World, Chennai-Tirupati Highway NH 716",Andhra Pradesh,Tirupati,"Chennai - Thiruttani - Renigunta Hwy, NH716 - Veerakaverirajupuram, Andhra Pradesh, Nagari, Andhra Pradesh 517590",13.29360934,79.58170947,DC Fast Charging,EV2,24-Jul,?7 k/Wh,"Wifi, Parking"
Ather Grid Charging Station,Andhra Pradesh,Tirupati,"Hindustan Petroleum,P Kothakota, Chavatapalli, Chittoor, NH-18A, Chittoor - Tirupati Rd, Tirupati, Andhra Pradesh 517124",13.39610918,79.09955078,DC Fast Charging,EV2,24-Jul,?10 k/Wh,Parking
"IOCL - KOORAPATI SERVICE STATION, Tirupati",Andhra Pradesh,Tirupati,"TIRUPATI URBAN AND MANDAL Air bye-pass road. Tirupati, Chittoor-517502",13.6207096,79.3828146,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Parking
Hotel Bliss | Tirupati,Andhra Pradesh,Tirupathi,"Hotel Bliss, 19-3-45, Near Ramanuja Circle, Renigunta Rd, Tirupati, Andhra Pradesh 517501",13.6253731,79.4322333,DC Fast Charging,EV2,24-Jul,?9 k/Wh,"Wifi, Parking"
Bhimas Residency Hotel ,Andhra Pradesh,Tirupati,"19-3-41 Renigunta Road, near Ramanuja Circle",13.62754649,79.43056383,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"No Wifi, No Parking"
"PNR Function Hall, Chennai-Ballary Highway",Andhra Pradesh,Proddatur,"D No 7/3109 Sy No 622, Beside IOCL petrol pump, Korrapadu Road, Andhrakesari Nagar, Proddatur Municipality, Andhra Pradesh 516360 ",14.7529922,78.5550768,AC Fast Charging,EV1,24-Jul,?7 k/Wh,"Wifi, Parking"
"Blue Moon Highway Restaurant, Bangalore-Hyderabad Highway",Andhra Pradesh,Anantapuram,"NH 44; Bangalore - Hyderabad  highway, 116/1B, Midthuru, Peddavaduguru, Anantapuram, Andhra Pradesh 515405",15.02395,77.620628,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"No Wifi, No Parking"
"IOCL - Sai Krupa Filling Station, SH 26",Andhra Pradesh,Anantapur,"SH 26, Vajrakarur to Guntakal Road SURVEY No.401-AIu00e2u0080u008b, Anantapur Dist. ANDHRA PRADESH,515722",15.1462972,77.3774561,AC Fast Charging,EV1,24-Jul,?9 k/Wh,Wifi
"Matsya Amazon Kitchens, Kurnool Rd",Andhra Pradesh,Kurnool,"NH 44; Bangalore - Hyderabad  highway, Kurnool Rd, Andhra Pradesh 518216",15.576915,77.93704,DC Fast Charging,EV2,24-Jul,?8 k/Wh,Parking
"Aavas Hotels & Resorts, NH 16 Velampalli",Andhra Pradesh,Ongole,"Aavas Hotel Resort, NH16, Vellampalli, Andhra Pradesh 523211",15.64863954,80.02711554,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"Wifi, Parking"
"Sasya Auto Cars, Bellari X Roads - NH 44",Andhra Pradesh,Kurnool,"Renault Showroom, 45/142-70-5-B, NH44 Near APSP 2nd Battallion, Bellari X Roads, Kurnool, Andhra Pradesh 518003",15.8305662,78.0179892,DC Fast Charging,EV2,24-Jul,?7 k/Wh,Parking
"Sasya Automotives, Near EENADU Office - NH 44",Andhra Pradesh,Kurnool,"Isuzu Showroom, Survey No-131-1 & 133-1A NH44 Near EENADU Office, Kurnool, Andhra Pradesh 518003",15.8498643,78.0045003,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"Wifi, Parking"
"Jayalakshmi Auto, Gudavalli",Andhra Pradesh,Vijayawada,"Jayalakshmi Auto Enterprises Pvt Ltd, Survey no 3/142 , Gudavalli Junction, Vijayawada rural, Krishna District ,521104",16.5129225,80.7497565,AC Fast Charging,EV1,24-Jul,?9 k/Wh,"No Wifi, No Parking"
"Hotel Grand Leela Krishna, Bhimavaram",Andhra Pradesh,Bhimavaram,"Undi Rd, Balusumoodi, Bhimavaram, Andhra Pradesh 534202",16.5451748,81.5199403,DC Fast Charging,EV2,24-Jul,?7 k/Wh,Wifi
"IOCL - NAVABHARAGAVA FILLING STATION, Vijayawada - Hyderabad Hwy",Andhra Pradesh,Vijayawada,"Vijayawada - Hyderabad Hwy, Ibrahimpatnam, Andhra Pradesh 521456",16.5812639,80.5263493,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"No Wifi, No Parking"
"Garuda Food Court, Komirepalle",Andhra Pradesh,Komirepalle,"NH 16 Gundugolanu, Komirepalle, Andhra Pradesh 534427",16.778579,81.221054,DC Fast Charging,EV2,24-Jul,?9 k/Wh,Wifi
"River Bay Resorts, Gautami Ghat",Andhra Pradesh,Rajahmundry,"Hotel River Bay Resort, 5-1-36 to 43 Gautami Ghat, Rajahmundry-533101",16.9921196,81.7735774,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Wifi
IOCL - TIRUMALA AGENCIES,Andhra Pradesh,Peddapuram,"Sy No 164, Peddapuram Bye-Pass Village/Mandal, East Godavari-533437",17.0758862,82.1217314,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"No Wifi, No Parking"
"IOCL Sree Devi Prasad Services, Naamavaram",Andhra Pradesh,Naamavaram,"Naamavaram, Andhra Pradesh 531126",17.3736805,82.5862594,AC Fast Charging,EV1,24-Jul,?7 k/Wh,Parking
